EPIC,Task,Description,Hour
"Backend Configurations and Authentication"
,"Forgot password to admin","","4"
,"Change password","","4"
,"Logout","","2"
,"Backend template management","","4"
,"Login","","6"

"Admin Dashboard"
,"View basic statistics and key information","Basic stats, graphs","40"
,"Adjust application settings","","12"

"Admin User Management"
,"Listing","","6"
,"Add/edit","","12"
,"Delete","","4"
,"Manage permission","","6"

"App User Management"
,"Listing","","8"
,"Add/edit","","16"
,"View details","user profiles, photographer profiles, venue listings","40"
,"Delete","","4"
,"Search and filter","","16"
,"Approve or Reject profiles","","4"

"Report User and Contents"
,"Allow users to report another user","","8"
,"Capture detailed information about the report","","8"

"Transactions (subscription)"
,"View full transaction history","","16"
,"See detailed information for each transaction","","8"
,"Filter or search transactions by date, type, or keyword","","6"
,"Download transaction records as PDF files","","12"

"Deployment"
,"Deployment","","8"
